,datetime,open,high,low,close,volume
0,1736480700,49426.5,49483.15,49378.9,49403.7,0
1,1736480760,49389.5,49400.85,49354.2,49364.95,0
2,1736480820,49360.95,49365.75,49312.65,49356.5,0
3,1736480880,49356.7,49405.1,49351.05,49391.25,0
4,1736480940,49390.25,49401.25,49340.5,49341.7,0
5,1736481000,49344.6,49412.75,49344.6,49402.4,0
6,1736481060,49411.4,49425.35,49368.15,49403.6,0
7,1736481120,49397.05,49415.7,49371.35,49394.9,0
8,1736481180,49398.05,49440.6,49368.1,49437.9,0
9,1736481240,49438.65,49449.9,49407.5,49407.5,0
10,1736481300,49405.3,49420.2,49368.95,49376.6,0
11,1736481360,49379.1,49404.5,49352.75,49393.2,0
12,1736481420,49393.35,49393.35,49331.3,49337.4,0
13,1736481480,49337.75,49341.35,49285.1,49288.55,0
14,1736481540,49288.2,49297.2,49254.35,49256.05,0
15,1736481600,49255.8,49262.65,49233.45,49257.4,0
16,1736481660,49257.05,49257.05,49223.15,49230.15,0
17,1736481720,49226.45,49282.25,49213.9,49243.25,0
18,1736481780,49240.0,49243.65,49152.25,49158.9,0
19,1736481840,49162.65,49174.8,49105.5,49114.5,0
20,1736481900,49117.3,49139.5,49075.85,49088.75,0
21,1736481960,49090.75,49100.35,49067.3,49074.4,0
22,1736482020,49073.4,49095.35,49064.8,49076.0,0
23,1736482080,49076.15,49126.5,49073.75,49099.45,0
24,1736482140,49096.65,49126.55,49089.1,49115.7,0
25,1736482200,49114.05,49171.2,49097.2,49164.6,0
26,1736482260,49167.2,49209.15,49157.6,49170.5,0
27,1736482320,49171.5,49182.65,49145.85,49182.65,0
28,1736482380,49180.7,49230.3,49174.2,49227.65,0
29,1736482440,49227.85,49234.6,49203.3,49211.7,0
30,1736482500,49211.6,49213.6,49118.0,49125.7,0
31,1736482560,49125.25,49168.8,49116.95,49147.85,0
32,1736482620,49146.55,49146.75,49118.45,49122.0,0
33,1736482680,49122.55,49124.35,49076.55,49097.0,0
34,1736482740,49097.05,49107.3,49051.15,49051.15,0
35,1736482800,49062.85,49062.85,49022.65,49037.95,0
36,1736482860,49039.8,49048.15,49027.4,49039.0,0
37,1736482920,49038.05,49076.65,49031.2,49047.55,0
38,1736482980,49050.95,49078.8,49034.55,49060.9,0
39,1736483040,49063.5,49070.05,49030.95,49034.9,0
40,1736483100,49029.65,49075.15,49009.65,49071.45,0
41,1736483160,49071.95,49071.95,49034.05,49055.85,0
42,1736483220,49053.35,49054.4,49027.15,49036.45,0
43,1736483280,49038.45,49038.45,48945.8,48951.05,0
44,1736483340,48952.05,48956.9,48922.0,48937.95,0
45,1736483400,48936.45,48942.7,48913.15,48924.7,0
46,1736483460,48921.55,48977.3,48911.85,48970.8,0
47,1736483520,48966.55,48975.9,48952.0,48966.95,0
48,1736483580,48961.95,48963.85,48942.25,48944.4,0
49,1736483640,48939.6,48943.35,48897.7,48907.6,0
50,1736483700,48900.9,48900.9,48860.25,48860.85,0
51,1736483760,48860.3,48885.45,48838.05,48882.45,0
52,1736483820,48885.8,48952.75,48874.1,48944.5,0
53,1736483880,48944.0,48985.8,48938.5,48953.45,0
54,1736483940,48943.5,48969.5,48939.3,48965.35,0
55,1736484000,48966.9,48983.2,48944.4,48963.25,0
56,1736484060,48957.05,48972.1,48934.7,48962.25,0
57,1736484120,48958.6,48999.0,48942.45,48954.35,0
58,1736484180,48952.55,48965.3,48948.0,48959.25,0
59,1736484240,48958.75,49017.65,48952.65,49015.35,0
60,1736484300,49011.1,49016.95,48984.95,49009.6,0
61,1736484360,49009.0,49039.75,48987.6,48998.25,0
62,1736484420,48988.6,49019.75,48988.6,49012.35,0
63,1736484480,49011.4,49038.6,49005.15,49038.45,0
64,1736484540,49037.6,49071.55,49037.6,49054.3,0
65,1736484600,49048.85,49053.9,49011.3,49013.3,0
66,1736484660,49012.35,49045.4,49011.05,49021.4,0
67,1736484720,49019.7,49079.1,49019.7,49075.6,0
68,1736484780,49074.4,49077.9,49053.45,49077.7,0
69,1736484840,49077.1,49111.7,49075.8,49105.6,0
70,1736484900,49106.9,49107.7,49070.5,49073.0,0
71,1736484960,49070.65,49076.05,49023.55,49029.65,0
72,1736485020,49027.6,49042.3,49015.75,49022.3,0
73,1736485080,49022.6,49034.65,48990.05,49030.5,0
