datetime_readable,open,high,low,close,datetime_epoch,dist_sma_5,dist_sma_10,dist_sma_20,dist_sma_50,dist_sma_100,dist_sma_200,dist_ema_5,dist_ema_10,dist_ema_20,dist_ema_50,dist_ema_100,dist_ema_200,macd_pct,macd_signal_pct,macd_hist_pct,rsi_14,rsi_21,adx,di_plus,di_minus,atr_pct,atr,bb_width_pct,bb_position,trend_slope,trend_strength,trend_direction,price_change_pct,price_change_abs,hl_range_pct,body_size_pct,upper_shadow_pct,lower_shadow_pct,volatility_10,volatility_20
2025-11-13 13:20:00,25974.25,25989.1,25972.75,25985.0,1763020200,0.02,0.07,0.05,0.18,0.26,0.8,0.03,0.04,0.07,0.15,0.35,0.8,0.03,0.04,-0.0,60.4,59.92,26.29,22.37,18.08,0.06,14.69,0.2,0.75,-0.21,0.01,-1,0.04,0.04,0.06,0.04,0.02,0.01,0.06,0.05
2025-11-13 13:25:00,25984.4,25984.6,25973.6,25981.0,1763020500,0.0,0.04,0.03,0.16,0.24,0.77,0.01,0.02,0.05,0.13,0.33,0.77,0.03,0.03,-0.0,58.19,58.49,25.17,21.11,17.06,0.06,14.45,0.2,0.66,-0.12,0.0,-1,-0.02,0.02,0.04,0.01,0.0,0.03,0.06,0.05
2025-11-13 13:30:00,25981.35,25982.95,25975.15,25977.85,1763020800,-0.01,0.02,0.02,0.14,0.22,0.75,-0.0,0.01,0.03,0.11,0.31,0.75,0.03,0.03,-0.0,56.43,57.36,24.13,20.27,16.38,0.05,13.98,0.2,0.6,-0.05,0.0,-1,-0.01,0.01,0.03,0.01,0.01,0.01,0.05,0.05
2025-11-13 13:35:00,25977.75,25998.3,25977.55,25993.65,1763021100,0.04,0.07,0.08,0.19,0.28,0.81,0.04,0.06,0.08,0.17,0.36,0.81,0.04,0.03,0.0,62.54,61.3,24.36,25.78,14.7,0.06,14.46,0.21,0.87,0.43,0.03,1,0.06,0.06,0.08,0.06,0.02,0.0,0.05,0.05
2025-11-13 13:40:00,25994.35,26010.7,25993.15,25998.6,1763021400,0.04,0.06,0.09,0.19,0.29,0.81,0.04,0.06,0.09,0.18,0.37,0.82,0.04,0.04,0.0,64.23,62.44,25.3,29.61,13.45,0.06,14.68,0.23,0.9,0.78,0.09,1,0.02,0.02,0.07,0.02,0.05,0.0,0.03,0.06
2025-11-13 13:45:00,25999.65,26003.45,25985.0,25986.0,1763021700,-0.01,0.01,0.04,0.13,0.24,0.76,-0.01,0.01,0.04,0.13,0.32,0.76,0.04,0.04,0.0,57.16,57.88,25.29,27.0,16.15,0.06,14.95,0.23,0.69,1.06,0.17,1,-0.05,0.05,0.07,0.05,0.01,0.0,0.03,0.06
2025-11-13 13:50:00,25986.3,25988.55,25974.5,25976.2,1763022000,-0.04,-0.03,0.01,0.09,0.2,0.71,-0.03,-0.02,0.0,0.09,0.28,0.72,0.03,0.04,-0.0,52.33,54.62,24.28,25.18,20.1,0.06,14.89,0.23,0.53,1.17,0.2,1,-0.04,0.04,0.05,0.04,0.01,0.01,0.03,0.06
2025-11-13 13:55:00,25975.85,25979.3,25928.45,25929.15,1763022300,-0.18,-0.19,-0.16,-0.1,0.02,0.52,-0.14,-0.17,-0.16,-0.09,0.09,0.53,0.02,0.03,-0.02,36.43,42.53,24.48,19.94,34.77,0.07,17.45,0.27,-0.1,0.66,0.05,1,-0.18,0.18,0.2,0.18,0.01,0.0,0.07,0.07
2025-11-13 14:00:00,25931.55,25936.65,25901.75,25907.65,1763022600,-0.2,-0.24,-0.23,-0.18,-0.06,0.43,-0.15,-0.2,-0.22,-0.17,0.01,0.44,-0.01,0.02,-0.03,31.69,38.45,25.59,17.28,40.33,0.07,18.7,0.34,-0.18,-0.04,0.0,-1,-0.08,0.08,0.13,0.09,0.02,0.02,0.11,0.09
2025-11-13 14:05:00,25908.7,25923.65,25893.3,25894.15,1763022900,-0.17,-0.26,-0.27,-0.24,-0.12,0.37,-0.13,-0.21,-0.25,-0.21,-0.04,0.39,-0.03,0.01,-0.04,29.13,36.16,26.87,15.36,38.94,0.08,19.53,0.42,-0.14,-0.9,0.04,-1,-0.05,0.05,0.12,0.06,0.06,0.0,0.15,0.11
2025-11-13 14:10:00,25895.3,25898.4,25871.1,25894.45,1763023200,-0.1,-0.23,-0.25,-0.24,-0.12,0.36,-0.09,-0.17,-0.22,-0.2,-0.04,0.38,-0.04,0.0,-0.05,29.27,36.25,28.61,13.87,43.06,0.08,20.09,0.48,-0.03,-1.91,0.12,-1,0.0,0.0,0.11,0.0,0.01,0.09,0.16,0.12
